SCD	speaker	tmin	tmax	text
3009-1 	A:	0	9.431161	<S>
3009-2 	B:	0	5.093	<S>
3009-2 	B:	5.093	5.893	how was
3009-2 	B:	5.893	6.931	<S>
3009-2 	B:	6.931	8.043	#Miao-Wen#'s birthday
3009-2 	B:	8.043	14.231	<S>
3009-1 	A:	9.431161	12.149	it was actually not bad though
3009-1 	A:	12.149	14.149	cause I get to see all my
3009-1 	A:	14.149	15.649	secondary school friends
3009-2 	B:	14.231	15.393	secondary school friends
3009-2 	B:	15.393	18.368	<S>
3009-1 	A:	15.649	19.269985	but like I don't really get to mix with the
3009-2 	B:	18.368	19.043	<Z>
3009-2 	B:	19.043	30.394	<S>
3009-1 	A:	19.269985	19.824	<S>
3009-1 	A:	19.824	22.512	other people like they don't talk to us
3009-1 	A:	22.512	24.662	I mean they have like their n_s friend
3009-1 	A:	24.662	25.274	<S>
3009-1 	A:	25.274	28.637	and his poly friends but I don't I never like
3009-1 	A:	28.637	29.438096	<S>
3009-1 	A:	29.438096	31.511	talk to them like talk talk to them
3009-2 	B:	30.394	31.031	<Z>
3009-2 	B:	31.031	38.919	<S>
3009-1 	A:	31.511	32.074	<S>
3009-1 	A:	32.074	32.736	but the
3009-1 	A:	32.736	33.299	<S>
3009-1 	A:	33.299	34.836	the birthday wise was fun
3009-1 	A:	34.836	35.561	<S>
3009-1 	A:	35.561	38.761	they didn't even give me the cake [eh] I'm so disappointed [lah]
3009-1 	A:	38.761	40.499	<S>
3009-2 	B:	38.919	40.319	what time did you all cut the cake
3009-2 	B:	40.319	42.831	<S>
3009-1 	A:	40.499	42.136	around like eight forty five
3009-1 	A:	42.136	42.833	<S>
3009-2 	B:	42.831	43.919	I don't think they leave
3009-1 	A:	42.833	43.436	but (ppo)
3009-1 	A:	43.436	44.361	<S>
3009-2 	B:	43.919	45.619	<S>
3009-1 	A:	44.361	45.386	I left at twelve
3009-1 	A:	45.386	45.999	<S>
3009-2 	B:	45.619	46.682	<Z>
3009-1 	A:	45.999	47.749	but like it was like very
3009-2 	B:	46.682	52.269	<S>
3009-1 	A:	47.749	48.399	<S>
3009-1 	A:	48.399	51.861	on off kinda thing cause I didn't I didn't even see him at all [eh]
3009-1 	A:	51.861	53.661	<S>
3009-2 	B:	52.269	53.507	then how did they cake look
3009-2 	B:	53.507	54.582	nice
3009-1 	A:	53.661	55.311	didn't I didn't I didn't I didn't
3009-2 	B:	54.582	56.232	you didn't see I thought you cut the cake
3009-1 	A:	55.311	56.486	<S>
3009-2 	B:	56.232	61.782	<S>
3009-1 	A:	56.486	59.261	I ya I cu~ I cut the cake it it was a cake
3009-1 	A:	59.261	61.699	of his it was a face on his cake
3009-1 	A:	61.699	62.436	<S>
3009-2 	B:	61.782	63.144	whose face his face [ah]
3009-1 	A:	62.436	63.486	ya his face
3009-2 	B:	63.144	63.957	[ah]
3009-1 	A:	63.486	64.624	so ugly
3009-2 	B:	63.957	72.47	<S>
3009-1 	A:	64.624	65.911	(ppb) but anyway
3009-1 	A:	65.911	72.499	no the thing is he didn't even like give me you know like how after you cut the cake right then you will like pass the cake around
3009-2 	B:	72.47	73.42	<Z>
3009-1 	A:	72.499	74.361	then he didn't even give me anything
3009-2 	B:	73.42	81.157	<S>
3009-1 	A:	74.361	75.774	and I was like okay
3009-1 	A:	75.774	76.349	<S>
3009-1 	A:	76.349	77.811	but it kinda look like
3009-1 	A:	77.811	80.511	it's from it bought~ it's like bought from those
3009-1 	A:	80.511	81.211	<S>
3009-2 	B:	81.157	81.995	they are very cheap [ah]
3009-1 	A:	81.211	83.549	ten dollar ten dollar cake shops or I mean
3009-2 	B:	81.995	83.357	<S>
3009-2 	B:	83.357	85.582	no I think the girlfriend looks like she will splash the cash [eh]
3009-1 	A:	83.549	85.974	<S>
3009-2 	B:	85.582	88.52	<S>
3009-1 	A:	85.974	88.186	like I mean he she splash the cash on the
3009-1 	A:	88.186	88.686	<S>
3009-2 	B:	88.52	90.458	birthday was it very grand
3009-1 	A:	88.686	91.261	on the no on the party itself no
3009-2 	B:	90.458	91.47	<S>
3009-1 	A:	91.261	91.973	<S>
3009-2 	B:	91.47	92.82	like okay only [lah]
3009-1 	A:	91.973	92.536	like in
3009-1 	A:	92.536	98.561	it was like two small balloons of his birthday like twenty three on the wall ya then that's about it
3009-2 	B:	92.82	94.983	<S>
3009-2 	B:	94.983	97.845	(ppb) that's all
3009-2 	B:	97.845	98.645	<S>
3009-1 	A:	98.561	100.598	I think I think she splash on the
3009-2 	B:	98.645	99.745	and the place [eh]
3009-2 	B:	99.745	101.283	<S>
3009-1 	A:	100.598	101.448	<S>
3009-2 	B:	101.283	102.583	and the accomodation
3009-1 	A:	101.448	104.086	on the ya the place itself
3009-2 	B:	102.583	105.47	<S>
3009-1 	A:	104.086	107.786	<S>
3009-2 	B:	105.47	106.57	[eh] where was it [ah]
3009-2 	B:	106.57	109.308	<S>
3009-1 	A:	107.786	108.948	everybody say I forgot
3009-1 	A:	108.948	110.936	<S>
3009-2 	B:	109.308	112.233	I also forget already (ppl)
3009-1 	A:	110.936	113.398	(ppb) okay never mind though (uh)
3009-2 	B:	112.233	114.933	where was it where was it the accommodation
3009-1 	A:	113.398	115.011	(uh) it it was at
3009-2 	B:	114.933	117.933	<S>
3009-1 	A:	115.011	115.798	<S>
3009-1 	A:	115.798	117.873	some really #ulu# place
3009-1 	A:	117.873	118.423	<S>
3009-2 	B:	117.933	119.733	(uh huh) I think you need to speak louder
3009-1 	A:	118.423	122.948	it's called [what] rec <UNK/> international hotel have you heard of it before
3009-2 	B:	119.733	121.508	<S>
3009-2 	B:	121.508	123.233	<Z>
3009-1 	A:	122.948	125.547	it's all the way at stevens m_r_t
3009-2 	B:	123.233	128.171	<S>
3009-1 	A:	125.547	128.298	and then that's damn far from our like our house though
3009-2 	B:	128.171	129.271	blue line right
3009-1 	A:	128.298	129.086	<S>
3009-1 	A:	129.086	129.748	ya
3009-2 	B:	129.271	147.159	<S>
3009-1 	A:	129.748	131.236	it's like all the way on top
3009-1 	A:	131.236	131.998	<S>
3009-1 	A:	131.998	135.248	and then and then like you have to either take the bus or you have to
3009-1 	A:	135.248	135.748	<S>
3009-1 	A:	135.748	136.111	walk
3009-1 	A:	136.111	137.798	<S>
3009-1 	A:	137.798	138.711	but you have to walk
3009-1 	A:	138.711	139.223	<S>
3009-1 	A:	139.223	141.248	and it's super duper far
3009-1 	A:	141.248	141.698	<S>
3009-1 	A:	141.698	142.648	so ya
3009-1 	A:	142.648	147.948	<S>
3009-2 	B:	147.159	149.946	always like that [one] (ppo)
3009-1 	A:	147.948	151.635	no not me not me as in like everybody smoked at the balcony
3009-2 	B:	149.946	151.384	<S>
3009-2 	B:	151.384	153.209	(ppo) hungry [sia]
3009-1 	A:	151.635	153.86	<S>
3009-2 	B:	153.209	158.947	<S>
3009-1 	A:	153.86	156.91	ya I haven't eat breakfast yet I (ppo) you didn't
3009-1 	A:	156.91	157.36	<S>
3009-1 	A:	157.36	158.873	[oh] cause I thought you ate just now
3009-1 	A:	158.873	159.873	<S>
3009-2 	B:	158.947	162.222	I woke up late I mean yeah kinda late I woke up like seven thirty
3009-1 	A:	159.873	160.873	what time did you wake up
3009-1 	A:	160.873	162.298	<S>
3009-2 	B:	162.222	162.934	<S>
3009-1 	A:	162.298	163.848	[oh] no wonder
3009-2 	B:	162.934	166.484	ya supposed to wake up at seven then the stupid
3009-1 	A:	163.848	167.785	<S>
3009-2 	B:	166.484	167.734	wedding happen
3009-2 	B:	167.734	168.909	at seven fifteen
3009-1 	A:	167.785	169.06	what what happen
3009-2 	B:	168.909	170.247	<S>
3009-1 	A:	169.06	172.985	<S>
3009-2 	B:	170.247	174.559	go there they #yam-seng#
3009-1 	A:	172.985	174.435	<unk> what is that [ah]
3009-1 	A:	174.435	179.31	<S>
3009-2 	B:	174.559	178.234	don't know [eh] they just went outside then they make a lot of noise like really a lot of noise
3009-2 	B:	178.234	178.859	<S>
3009-2 	B:	178.859	179.659	ya
3009-1 	A:	179.31	179.998	like all Chinese
3009-2 	B:	179.659	180.409	<S>
3009-1 	A:	179.998	180.839	<S>
3009-2 	B:	180.409	181.678	ya then they were like
3009-1 	A:	180.839	183.27	[oh] that's that's that's like the Chinese gatecrashing
3009-2 	B:	181.678	183.184	<S>
3009-2 	B:	183.184	188.159	ya just kept talking and talking then my sister got damn angry she woke up (ppb) then she
3009-1 	A:	183.27	187.132	<S>
3009-1 	A:	187.132	187.807	<Z>
3009-1 	A:	187.807	196.97	<S>
3009-2 	B:	188.159	196.305	she went to the kitchen then she shouted (uh) y'all guys better keep it down I'm trying to sleep but then I could barely hear it so people outside confirm cannot hear (ppo)
3009-2 	B:	196.305	200.256	then after that she went to the main gain then after that she slam the door damn hard
3009-1 	A:	196.97	197.482	<Z>
3009-1 	A:	197.482	202.433	<S>
3009-2 	B:	200.256	201.431	then they they were like [oh]
3009-2 	B:	201.431	202.568	<S>
3009-1 	A:	202.433	203.658	<Z>
3009-2 	B:	202.568	211.721	[oh] [oh] then they angry already (ppl) but then they then somebody shouted (uh) wedding only once a year what [eh] no wedding only once in a lifetime what
3009-1 	A:	203.658	204.833	<S>
3009-1 	A:	204.833	205.345	<Z>
3009-1 	A:	205.345	209.458	<S>
3009-1 	A:	209.458	210.62	<Z>
3009-1 	A:	210.62	211.083	<S>
3009-1 	A:	211.083	211.745	<Z>
3009-2 	B:	211.721	213.319	ya like they are very
3009-1 	A:	211.745	212.383	<S>
3009-1 	A:	212.383	214.608	then what what what did your parents say though
3009-2 	B:	213.319	214.259	<S>
3009-2 	B:	214.259	219.124	everyone was laughing (ppl) cause she's like ya everybody was awake damn loud like really damn loud
3009-1 	A:	214.608	215.908	<S>
3009-1 	A:	215.908	217.346	but she was already awake is it
3009-1 	A:	217.346	219.233	<S>
3009-2 	B:	219.124	220.012	<S>
3009-1 	A:	219.233	220.271	your father also
3009-2 	B:	220.012	222.562	ya my father went out already then
