"ResponseId"	"P.Gender"	"P.Age"	"P.Ethnicity"	"P.Education_1"	"S.Gender"	"S.AgeGroup"	"S.Ethnicity"	"S.Education"	"S.PerceivedAgeGroup"	"Speaker"	"Sentence"	"Loop"	"MR3"
"R_3kh3Mb4oMzN7Fcq"	"Female"	21.597857212415	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Secondary school"	"20-29"	694	1	2	-0.251800113
"R_3kh3Mb4oMzN7Fcq"	"Female"	22.0348235421814	"Malay"	"University"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	3	5	-0.328286249
"R_3kh3Mb4oMzN7Fcq"	"Female"	22.3059611431789	"Malay"	"University"	"Female"	"30+"	"Malay"	"Polytechnic"	"20-29"	911	4	3	-0.253593661
"R_3kh3Mb4oMzN7Fcq"	"Female"	22.4861174765509	"Malay"	"University"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	3	1	-0.22999889
"R_3kjjycABUvp2EX4"	"Female"	22.142985050194	"Malay"	"University"	"Male"	"30+"	"Malay"	"Secondary school"	"30-39"	965	3	4	-0.50154852
"R_3kjjycABUvp2EX4"	"Female"	23.4071098711342	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"30-39"	832	1	1	-0.594670654
"R_3kjjycABUvp2EX4"	"Female"	22.3840881235898	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"30-39"	936	3	5	-0.467058974
"R_3kjjycABUvp2EX4"	"Female"	23.1386665471364	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"30-39"	446	1	6	-0.422783373
"R_3kM9Qiih36plr5R"	"Female"	22.5838984305039	"Malay"	"University"	"Female"	"20+"	"Malay"	"Secondary school"	"20-29"	225	1	5	0.239299903
"R_3kM9Qiih36plr5R"	"Female"	22.5913396268617	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	4	6	0.483133317
"R_3kM9Qiih36plr5R"	"Female"	23.0592516193632	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	4	1	0.302725677
"R_3kM9Qiih36plr5R"	"Female"	22.4533967452589	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	2	0.656670797
"R_3kprsCBauBTABN0"	"Female"	19.8950501023792	"Malay"	"University"	"Male"	"30+"	"Indian"	"Polytechnic"	"20-29"	936	1	6	-1.022862576
"R_3kprsCBauBTABN0"	"Female"	20.5340708727483	"Malay"	"University"	"Female"	"20+"	"Indian"	"Secondary school"	"20-29"	446	3	5	-1.299088137
"R_3kprsCBauBTABN0"	"Female"	20.277164043067	"Malay"	"University"	"Male"	"30+"	"Chinese"	"University"	"20-29"	832	3	1	-1.087075911
"R_3KT6XCq941L0XSg"	"Male"	24.1501083006151	"Malay"	"Post-secondary"	"Male"	"30+"	"Indian"	"Polytechnic"	"30-39"	936	1	6	0.640349168
"R_3KT6XCq941L0XSg"	"Male"	24.6267860384192	"Malay"	"Post-secondary"	"Female"	"20+"	"Indian"	"Secondary school"	"30-39"	446	4	4	0.793937193
"R_3KT6XCq941L0XSg"	"Male"	24.0507806508336	"Malay"	"Post-secondary"	"Male"	"30+"	"Malay"	"Secondary school"	"30-39"	965	1	2	1.216701369
"R_3KT6XCq941L0XSg"	"Male"	23.7951801058371	"Malay"	"Post-secondary"	"Male"	"30+"	"Chinese"	"University"	"30-39"	832	4	3	1.215846365
"R_3L1r5AyXm7O6ouo"	"Male"	25.2288155211601	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	4	1	1.854993721
"R_3LbWIwmI9F2COUG"	"Female"	23.8287652902771	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	4	1	-0.841495226
"R_3LbWIwmI9F2COUG"	"Female"	24.0336444083136	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	3	4	-0.859926334
"R_3LbWIwmI9F2COUG"	"Female"	23.8269332720432	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	3	3	-0.684535256
"R_3LbWIwmI9F2COUG"	"Female"	24.0460241280496	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	4	5	-0.908654677
"R_3LjN4Arn1apo1lf"	"Female"	26.3499244687147	"Malay"	"Post-secondary"	"Male"	"20+"	"Indian"	"University"	"20-29"	1014	3	6	-0.810792272
"R_3LjN4Arn1apo1lf"	"Female"	26.3205548575148	"Malay"	"Post-secondary"	"Male"	"20+"	"Chinese"	"University"	"20-29"	866	3	5	-0.748267222
"R_3LjN4Arn1apo1lf"	"Female"	25.9057897879276	"Malay"	"Post-secondary"	"Female"	"30+"	"Chinese"	"Secondary school"	"20-29"	694	1	4	-0.51590026
"R_3LjN4Arn1apo1lf"	"Female"	26.1230165581219	"Malay"	"Post-secondary"	"Male"	"20+"	"Malay"	"Polytechnic"	"20-29"	990	4	1	-0.42751662
"R_3ltBgILLBLXGHH2"	"Female"	19.7476954982616	"Malay"	"University"	"Male"	"30+"	"Malay"	"University"	"20-29"	558	1	5	-0.529787542
"R_3ltBgILLBLXGHH2"	"Female"	20.2326646219939	"Malay"	"University"	"Female"	"20+"	"Indian"	"Polytechnic"	"20-29"	930	3	1	-0.582916429
"R_3ltBgILLBLXGHH2"	"Female"	20.2388783414848	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Polytechnic"	"20-29"	878	4	2	-0.233901259
"R_3ltBgILLBLXGHH2"	"Female"	19.5592016304377	"Malay"	"University"	"Male"	"30+"	"Indian"	"Secondary school"	"20-29"	962	1	6	-0.294022894
"R_3m1V7uu5LmLcpkc"	"Male"	24.018856823165	"Malay"	"University"	"Female"	"30+"	"Malay"	"University"	"20-29"	931	3	3	-0.151323092
"R_3m1V7uu5LmLcpkc"	"Male"	24.2391089136712	"Malay"	"University"	"Female"	"30+"	"Chinese"	"Polytechnic"	"20-29"	937	1	6	-0.063433004
"R_3m1V7uu5LmLcpkc"	"Male"	24.0867954545654	"Malay"	"University"	"Male"	"20+"	"Chinese"	"Secondary school"	"20-29"	400	4	4	0.237997846
"R_3m1V7uu5LmLcpkc"	"Male"	24.4390134830028	"Malay"	"University"	"Female"	"30+"	"Indian"	"University"	"20-29"	956	4	5	0.26743895
