ResponseId	S.Gender	S.Ethnicity	S.Education	S.AgeGroup	P.Gender	P.Ethnicity	P.Education	P.Age	Speaker	Sentence	Loop	RC1	RC2	RC3	RC4
R_yI6YNvokMYLPKEN	Male	Indian	Polytechnic	20+	Female	Indian	University	21	618	1	1	-0.46848408	0.085755887	0.513917603	-0.453486503
R_yI6YNvokMYLPKEN	Male	Malay	Secondary school	20+	Female	Indian	University	21	613	1	2	-0.689862213	-1.114950235	-0.145407507	-0.420855387
R_yI6YNvokMYLPKEN	Female	Chinese	Polytechnic	30+	Female	Indian	University	21	937	2	3	-0.341814308	0.388434181	0.856866517	0.498399769
R_yI6YNvokMYLPKEN	Male	Chinese	Secondary school	20+	Female	Indian	University	21	400	3	4	-1.5200392	-0.559994012	0.76844431	-0.1265727
R_yI6YNvokMYLPKEN	Female	Malay	University	30+	Female	Indian	University	21	931	4	5	0.001444845	-0.676784219	-0.629180145	-1.75530594
R_yI6YNvokMYLPKEN	Female	Indian	University	30+	Female	Indian	University	21	956	3	6	-1.545746186	-0.124538654	-0.474621456	-0.209750158
R_1LO7QhD1cMgOm0x	Female	Chinese	Polytechnic	30+	Female	Chinese	University	21	937	2	1	0.849316177	1.002979967	0.011260552	-1.129781005
R_1LO7QhD1cMgOm0x	Male	Indian	Polytechnic	20+	Female	Chinese	University	21	618	4	2	-1.442424258	1.714213786	-1.023865284	1.134183662
R_1LO7QhD1cMgOm0x	Female	Malay	University	30+	Female	Chinese	University	21	931	3	3	1.691055627	-0.706630112	1.764169984	-0.571626594
R_1LO7QhD1cMgOm0x	Male	Chinese	Secondary school	20+	Female	Chinese	University	21	400	4	4	-1.25633614	1.787827514	-1.595067074	2.15214845
R_1LO7QhD1cMgOm0x	Female	Indian	University	30+	Female	Chinese	University	21	956	2	6	2.601731422	2.549796558	2.439541788	2.210209939
R_3fpZ8jDd3HAjirf	Male	Malay	Secondary school	30+	Female	Chinese	University	21	965	2	1	-0.105238657	-0.914670463	-0.309041406	-0.250950809
R_3fpZ8jDd3HAjirf	Female	Malay	University	20+	Female	Chinese	University	21	532	1	2	-0.731240583	0.230230198	-0.092020358	-0.799184798
R_3fpZ8jDd3HAjirf	Female	Chinese	Polytechnic	20+	Female	Chinese	University	21	818	4	3	0.286120397	0.825262152	-0.794279992	0.451098752
R_3fpZ8jDd3HAjirf	Male	Indian	Polytechnic	30+	Female	Chinese	University	21	936	3	4	1.084723453	0.928751789	-0.02749315	0.161359849
R_3fpZ8jDd3HAjirf	Male	Chinese	University	30+	Female	Chinese	University	21	832	3	5	-0.701941565	-1.991142604	-0.736192606	-0.934455403
R_3fpZ8jDd3HAjirf	Female	Indian	Secondary school	20+	Female	Chinese	University	21	446	5	6	-0.307427979	-1.567054353	0.447816565	-0.713511805
R_wNJSIklWvyfrqPn	Male	Malay	Secondary school	20+	Female	Chinese	University	22	613	2	1	0.786690476	0.396547727	0.672201544	0.224861335
R_wNJSIklWvyfrqPn	Male	Indian	Polytechnic	20+	Female	Chinese	University	22	618	1	2	0.853746931	0.117708024	0.249480622	0.423141354
R_wNJSIklWvyfrqPn	Female	Malay	University	30+	Female	Chinese	University	22	931	4	3	-0.061573872	-0.268947028	-0.023272906	-0.612227899
R_wNJSIklWvyfrqPn	Female	Chinese	Polytechnic	30+	Female	Chinese	University	22	937	3	4	0.855125943	0.509912796	0.160097922	0.171493745
